surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-0.38808577085227924,2.0,0,1,0,0,0,0,7.35
-0.5978283204974191,2.0,0,0,0,0,0,0,6.2
0.052911384811860813,3.0,0,0,0,0,0,0,8.4
-0.6112733557310819,2.0,0,1,0,0,0,0,5.414000000000001
-0.42304286245980255,2.0,0,1,0,0,0,0,5.832000000000001
-0.13531910845941847,2.5,0,1,0,0,0,0,6.938
0.10400251869977949,2.5,0,1,0,0,0,0,7.503
0.2492088992233378,3.0,0,1,0,0,0,0,7.902
0.3621471951861054,3.0,0,1,0,0,0,0,8.209999999999999
2.1530258883099913,3.0,0,1,0,0,0,0,24.9
3.683070897900819,4.0,0,1,0,0,0,0,46.0
-0.6112733557310819,2.0,0,1,0,0,0,0,4.575
-0.46337796816079097,2.0,0,1,0,0,0,0,4.934000000000001
-0.4472439258803956,2.0,0,1,0,0,0,0,4.974
-0.4122868342728723,2.0,0,1,0,0,0,0,5.056000000000001
-1.2136109341991757,1.0,0,1,0,0,0,0,3.6
-0.6112733557310819,2.0,0,1,0,0,0,0,5.5
-0.2832144960297094,2.5,0,1,0,0,0,0,6.550000000000001
0.7601202381025245,2.0,0,1,0,0,0,0,6.800000000000001
-0.10036201685189518,2.0,0,1,0,0,0,0,6.5
0.24383088512987267,3.0,0,1,0,0,0,0,9.2
0.5261766250367916,3.0,0,1,0,0,0,0,9.2
-1.18672086373185,1.0,0,0,0,0,0,1,3.35
-0.6811875389461285,2.0,0,0,0,0,0,1,4.73
-0.3020375453568373,2.5,0,0,0,0,0,1,5.522
0.4374393924946171,3.0,0,1,0,0,0,0,13.6
-0.6274073980114772,2.0,0,0,0,0,0,0,4.759
-0.6112733557310819,2.0,0,0,0,0,0,0,4.7700000000000005
-0.6032063345908841,2.0,0,0,0,0,0,0,4.78
-0.5790052711702911,2.0,0,0,0,0,0,0,4.791
-0.5359811584225701,2.0,0,0,0,0,0,0,4.8020000000000005
0.9187716538597456,3.0,0,1,1,0,0,0,16.1
1.1231361894114202,3.0,0,1,1,0,0,0,17.0
1.3194337038228972,3.0,0,1,1,0,0,0,17.8
1.5211092323278392,3.0,0,1,1,0,0,0,18.7
2.080422698048212,3.5,0,1,1,0,0,0,21.1
2.123446810795933,3.5,0,1,1,0,0,0,21.3
-0.8667290251706752,1.0,0,1,0,0,0,0,6.5
-0.39346378494574435,2.0,0,1,0,0,0,0,8.4
-0.36657371447841874,2.0,0,1,0,0,0,0,8.5
-0.07078293933783701,2.0,0,1,0,0,0,0,9.6
0.7224741394482685,3.0,0,1,0,0,0,0,12.9
0.8300344213175711,3.0,0,1,0,0,0,0,13.3
1.0075088864019202,3.0,0,1,0,0,0,0,13.9
1.0263319357290481,3.0,0,1,0,0,0,0,14.0
-0.6758095248526633,2.0,0,0,0,0,0,0,4.32
-0.48489002453465146,2.0,0,0,0,0,0,0,4.74
-1.2405010046665013,1.0,0,0,0,0,0,1,3.058
-0.7000105882732564,2.0,0,0,0,0,0,1,4.349
-0.6865655530395935,2.0,0,0,0,0,0,1,4.383
-0.6516084614320703,2.0,0,0,0,0,0,1,4.444
-0.6166513698245469,2.0,0,0,0,0,0,1,4.5520000000000005
-0.23481236918852325,3.0,0,0,0,0,0,1,5.4
-0.43648789769346535,2.0,0,0,0,0,0,0,11.1
-0.3074155594503024,2.0,0,0,0,0,0,0,11.8
-0.24825740442218605,2.0,0,0,0,0,0,0,12.1
0.47508549114887294,3.0,0,0,0,0,0,0,16.2
0.5745787518779777,3.0,0,0,0,0,0,0,16.7
-0.9742893070399776,1.0,0,0,1,0,0,0,3.6
-0.46337796816079097,2.0,0,0,1,0,0,0,5.2
-0.23481236918852325,2.0,0,0,0,0,0,0,7.9
0.13358159621383767,3.0,0,0,0,0,0,0,9.7
-0.5386701654693027,2.0,0,1,0,0,0,0,6.806000000000001
-0.5010240668150469,2.0,0,1,0,0,0,0,6.841
-0.2832144960297094,2.0,0,1,0,0,0,0,7.800000000000001
0.2223188287560122,3.0,0,1,0,0,0,0,9.887
1.351701788383688,4.0,0,1,0,0,0,0,14.0
2.352012409768201,5.0,0,1,0,0,0,0,17.7
-0.44455491883366305,2.0,0,0,0,0,0,0,6.88
-0.39346378494574435,2.0,0,0,0,0,0,0,6.88
2.056221634627619,5.0,0,0,0,0,0,0,13.0
-0.5171581090954422,2.0,0,0,0,0,0,0,4.800000000000001
-0.4606889611140584,2.0,0,0,0,0,0,0,5.1000000000000005
-0.2375013762352558,2.0,0,0,0,0,0,0,5.6000000000000005
-0.43917690474019794,2.0,0,1,0,0,0,0,9.5
-0.2805254889829768,2.0,0,1,0,0,0,0,11.0
0.01795429320433752,2.0,0,1,0,0,0,0,11.8
0.6902060548874779,3.0,0,1,0,0,0,0,14.6
0.7278521535417337,3.0,0,1,0,0,0,0,14.7
0.7843213015231175,3.0,0,1,0,0,0,0,14.9
-1.124873701657001,1.0,0,1,0,0,0,0,3.868
-0.5494261936562329,2.0,0,1,0,0,0,0,5.800000000000001
-0.46337796816079097,2.0,0,1,0,0,0,0,6.072
-0.24019038328198838,2.0,0,1,0,0,0,0,8.149
0.5073535757096637,3.0,0,1,0,0,0,0,10.8
-0.3020375453568373,2.0,0,1,0,0,0,0,7.45
-0.14338612959961616,2.0,0,1,0,0,0,0,8.059000000000001
-0.06540492524437189,2.0,0,1,0,0,0,0,8.3
-0.7833698067219658,2.0,0,1,0,0,0,0,4.7250000000000005
-0.769924771488303,2.0,0,1,0,0,0,0,4.75
-0.7295896657873145,2.0,0,1,0,0,0,0,4.843
-0.5548042077496981,2.0,0,1,0,0,0,0,5.526
-0.16758719302020922,3.0,0,1,0,0,0,0,6.6000000000000005
